id,begin_date,end_date,sku,warehouse_code,period_type_id
997,2024-02-05,2024-02-18,13350850,278850,5
982,2024-01-08,2024-01-21,13350850,278850,5
970,2023-12-11,2023-12-24,13350850,278850,5
955,2023-11-13,2023-11-26,13350850,278850,5
949,2023-10-16,2023-10-29,13350850,278850,5
936,2023-09-18,2023-10-01,13350850,278850,5
929,2023-08-21,2023-09-03,13350850,278850,5
925,2023-08-21,2023-09-03,13350850,278850,5
917,2023-07-24,2023-08-06,13350850,278850,5
916,2023-07-24,2023-08-06,13350850,278850,5
912,2023-06-26,2023-07-09,13350850,278850,5
832,2022-06-27,2022-07-10,13350850,278850,5
880,2023-01-23,2023-02-05,13350850,278850,5
909,2023-05-29,2023-06-11,13350850,278850,5
899,2023-04-17,2023-04-30,13350850,278850,5
890,2023-03-20,2023-04-02,13350850,278850,5
886,2023-02-20,2023-03-05,13350850,278850,5
878,2022-12-19,2023-01-08,13350850,278850,5
876,2022-12-19,2023-01-08,13350850,278850,5
867,2022-11-21,2022-12-04,13350850,278850,4
868,2022-11-21,2022-12-04,13350850,278850,5
861,2022-10-24,2022-11-06,13350850,278850,5
860,2022-10-24,2022-11-06,13350850,278850,5
857,2022-09-19,2022-10-09,13350850,278850,5
845,2022-08-08,2022-08-21,13350850,278850,5
824,2022-05-20,2022-06-05,13350850,278850,5
997,2024-02-05,2024-02-18,13350850,192850,5
982,2024-01-08,2024-01-21,13350850,192850,5
970,2023-12-11,2023-12-24,13350850,192850,5
955,2023-11-13,2023-11-26,13350850,192850,5
949,2023-10-16,2023-10-29,13350850,192850,5
936,2023-09-18,2023-10-01,13350850,192850,5
929,2023-08-21,2023-09-03,13350850,192850,5
925,2023-08-21,2023-09-03,13350850,192850,5
917,2023-07-24,2023-08-06,13350850,192850,5
916,2023-07-24,2023-08-06,13350850,192850,5
912,2023-06-26,2023-07-09,13350850,192850,5
832,2022-06-27,2022-07-10,13350850,192850,5
861,2022-10-24,2022-11-06,13350850,192850,5
880,2023-01-23,2023-02-05,13350850,192850,5
909,2023-05-29,2023-06-11,13350850,192850,5
899,2023-04-17,2023-04-30,13350850,192850,5
890,2023-03-20,2023-04-02,13350850,192850,5
886,2023-02-20,2023-03-05,13350850,192850,5
878,2022-12-19,2023-01-08,13350850,192850,5
876,2022-12-19,2023-01-08,13350850,192850,5
867,2022-11-21,2022-12-04,13350850,192850,4
868,2022-11-21,2022-12-04,13350850,192850,5
860,2022-10-24,2022-11-06,13350850,192850,5
857,2022-09-19,2022-10-09,13350850,192850,5
845,2022-08-08,2022-08-21,13350850,192850,5
824,2022-05-20,2022-06-05,13350850,192850,5
997,2024-02-05,2024-02-18,13350850,67850,5
982,2024-01-08,2024-01-21,13350850,67850,5
970,2023-12-11,2023-12-24,13350850,67850,5
955,2023-11-13,2023-11-26,13350850,67850,5
949,2023-10-16,2023-10-29,13350850,67850,5
936,2023-09-18,2023-10-01,13350850,67850,5
929,2023-08-21,2023-09-03,13350850,67850,5
925,2023-08-21,2023-09-03,13350850,67850,5
917,2023-07-24,2023-08-06,13350850,67850,5
916,2023-07-24,2023-08-06,13350850,67850,5
912,2023-06-26,2023-07-09,13350850,67850,5
861,2022-10-24,2022-11-06,13350850,67850,5
880,2023-01-23,2023-02-05,13350850,67850,5
909,2023-05-29,2023-06-11,13350850,67850,5
899,2023-04-17,2023-04-30,13350850,67850,5
890,2023-03-20,2023-04-02,13350850,67850,5
886,2023-02-20,2023-03-05,13350850,67850,5
878,2022-12-19,2023-01-08,13350850,67850,5
876,2022-12-19,2023-01-08,13350850,67850,5
867,2022-11-21,2022-12-04,13350850,67850,4
868,2022-11-21,2022-12-04,13350850,67850,5
860,2022-10-24,2022-11-06,13350850,67850,5
857,2022-09-19,2022-10-09,13350850,67850,5
845,2022-08-08,2022-08-21,13350850,67850,5
832,2022-06-27,2022-07-10,13350850,67850,5
824,2022-05-20,2022-06-05,13350850,67850,5
997,2024-02-05,2024-02-18,13350850,72850,5
982,2024-01-08,2024-01-21,13350850,72850,5
970,2023-12-11,2023-12-24,13350850,72850,5
955,2023-11-13,2023-11-26,13350850,72850,5
949,2023-10-16,2023-10-29,13350850,72850,5
936,2023-09-18,2023-10-01,13350850,72850,5
929,2023-08-21,2023-09-03,13350850,72850,5
925,2023-08-21,2023-09-03,13350850,72850,5
917,2023-07-24,2023-08-06,13350850,72850,5
916,2023-07-24,2023-08-06,13350850,72850,5
912,2023-06-26,2023-07-09,13350850,72850,5
861,2022-10-24,2022-11-06,13350850,72850,5
909,2023-05-29,2023-06-11,13350850,72850,5
899,2023-04-17,2023-04-30,13350850,72850,5
890,2023-03-20,2023-04-02,13350850,72850,5
886,2023-02-20,2023-03-05,13350850,72850,5
880,2023-01-23,2023-02-05,13350850,72850,5
878,2022-12-19,2023-01-08,13350850,72850,5
876,2022-12-19,2023-01-08,13350850,72850,5
867,2022-11-21,2022-12-04,13350850,72850,4
868,2022-11-21,2022-12-04,13350850,72850,5
860,2022-10-24,2022-11-06,13350850,72850,5
857,2022-09-19,2022-10-09,13350850,72850,5
845,2022-08-08,2022-08-21,13350850,72850,5
832,2022-06-27,2022-07-10,13350850,72850,5
824,2022-05-20,2022-06-05,13350850,72850,5
991,2024-01-22,2024-02-04,14151850,192850,5
978,2023-12-25,2024-01-07,14151850,192850,5
960,2023-11-27,2023-12-10,14151850,192850,5
954,2023-10-30,2023-11-12,14151850,192850,5
945,2023-10-02,2023-10-15,14151850,192850,5
931,2023-09-04,2023-09-17,14151850,192850,5
860,2022-10-24,2022-11-06,14151850,192850,5
811,2022-01-24,2022-02-06,14151850,192850,6
809,2022-01-10,2022-01-23,14151850,192850,5
991,2024-01-22,2024-02-04,14151850,278850,5
978,2023-12-25,2024-01-07,14151850,278850,5
960,2023-11-27,2023-12-10,14151850,278850,5
954,2023-10-30,2023-11-12,14151850,278850,5
945,2023-10-02,2023-10-15,14151850,278850,5
931,2023-09-04,2023-09-17,14151850,278850,5
860,2022-10-24,2022-11-06,14151850,278850,5
811,2022-01-24,2022-02-06,14151850,278850,6
809,2022-01-10,2022-01-23,14151850,278850,5
991,2024-01-22,2024-02-04,14151850,72850,5
978,2023-12-25,2024-01-07,14151850,72850,5
960,2023-11-27,2023-12-10,14151850,72850,5
954,2023-10-30,2023-11-12,14151850,72850,5
945,2023-10-02,2023-10-15,14151850,72850,5
931,2023-09-04,2023-09-17,14151850,72850,5
860,2022-10-24,2022-11-06,14151850,72850,5
811,2022-01-24,2022-02-06,14151850,72850,6
809,2022-01-10,2022-01-23,14151850,72850,5
991,2024-01-22,2024-02-04,14151850,67850,5
978,2023-12-25,2024-01-07,14151850,67850,5
960,2023-11-27,2023-12-10,14151850,67850,5
954,2023-10-30,2023-11-12,14151850,67850,5
945,2023-10-02,2023-10-15,14151850,67850,5
931,2023-09-04,2023-09-17,14151850,67850,5
860,2022-10-24,2022-11-06,14151850,67850,5
811,2022-01-24,2022-02-06,14151850,67850,6
809,2022-01-10,2022-01-23,14151850,67850,5
997,2024-02-05,2024-02-18,1224850,67850,5
982,2024-01-08,2024-01-21,1224850,67850,5
970,2023-12-11,2023-12-24,1224850,67850,5
955,2023-11-13,2023-11-26,1224850,67850,5
949,2023-10-16,2023-10-29,1224850,67850,5
936,2023-09-18,2023-10-01,1224850,67850,5
945,2023-10-02,2023-10-15,1224850,67850,5
931,2023-09-04,2023-09-17,1224850,67850,5
929,2023-08-21,2023-09-03,1224850,67850,5
922,2023-08-07,2023-08-20,1224850,67850,5
917,2023-07-24,2023-08-06,1224850,67850,5
916,2023-07-24,2023-08-06,1224850,67850,5
912,2023-06-26,2023-07-09,1224850,67850,5
913,2023-07-10,2023-07-23,1224850,67850,5
865,2022-11-07,2022-11-20,1224850,67850,5
909,2023-05-29,2023-06-11,1224850,67850,5
899,2023-04-17,2023-04-30,1224850,67850,5
864,2022-11-07,2022-11-20,1224850,67850,5
860,2022-10-24,2022-11-06,1224850,67850,5
997,2024-02-05,2024-02-18,1224850,192850,5
982,2024-01-08,2024-01-21,1224850,192850,5
970,2023-12-11,2023-12-24,1224850,192850,5
955,2023-11-13,2023-11-26,1224850,192850,5
949,2023-10-16,2023-10-29,1224850,192850,5
945,2023-10-02,2023-10-15,1224850,192850,5
931,2023-09-04,2023-09-17,1224850,192850,5
936,2023-09-18,2023-10-01,1224850,192850,5
929,2023-08-21,2023-09-03,1224850,192850,5
922,2023-08-07,2023-08-20,1224850,192850,5
917,2023-07-24,2023-08-06,1224850,192850,5
916,2023-07-24,2023-08-06,1224850,192850,5
912,2023-06-26,2023-07-09,1224850,192850,5
913,2023-07-10,2023-07-23,1224850,192850,5
865,2022-11-07,2022-11-20,1224850,192850,5
909,2023-05-29,2023-06-11,1224850,192850,5
899,2023-04-17,2023-04-30,1224850,192850,5
864,2022-11-07,2022-11-20,1224850,192850,5
860,2022-10-24,2022-11-06,1224850,192850,5
997,2024-02-05,2024-02-18,1224850,278850,5
982,2024-01-08,2024-01-21,1224850,278850,5
970,2023-12-11,2023-12-24,1224850,278850,5
955,2023-11-13,2023-11-26,1224850,278850,5
949,2023-10-16,2023-10-29,1224850,278850,5
945,2023-10-02,2023-10-15,1224850,278850,5
936,2023-09-18,2023-10-01,1224850,278850,5
931,2023-09-04,2023-09-17,1224850,278850,5
929,2023-08-21,2023-09-03,1224850,278850,5
922,2023-08-07,2023-08-20,1224850,278850,5
917,2023-07-24,2023-08-06,1224850,278850,5
916,2023-07-24,2023-08-06,1224850,278850,5
913,2023-07-10,2023-07-23,1224850,278850,5
912,2023-06-26,2023-07-09,1224850,278850,5
909,2023-05-29,2023-06-11,1224850,278850,5
899,2023-04-17,2023-04-30,1224850,278850,5
865,2022-11-07,2022-11-20,1224850,278850,5
864,2022-11-07,2022-11-20,1224850,278850,5
860,2022-10-24,2022-11-06,1224850,278850,5
997,2024-02-05,2024-02-18,1224850,72850,5
982,2024-01-08,2024-01-21,1224850,72850,5
970,2023-12-11,2023-12-24,1224850,72850,5
955,2023-11-13,2023-11-26,1224850,72850,5
949,2023-10-16,2023-10-29,1224850,72850,5
945,2023-10-02,2023-10-15,1224850,72850,5
936,2023-09-18,2023-10-01,1224850,72850,5
931,2023-09-04,2023-09-17,1224850,72850,5
929,2023-08-21,2023-09-03,1224850,72850,5
922,2023-08-07,2023-08-20,1224850,72850,5
917,2023-07-24,2023-08-06,1224850,72850,5
916,2023-07-24,2023-08-06,1224850,72850,5
912,2023-06-26,2023-07-09,1224850,72850,5
913,2023-07-10,2023-07-23,1224850,72850,5
865,2022-11-07,2022-11-20,1224850,72850,5
909,2023-05-29,2023-06-11,1224850,72850,5
